id,searched_keywords,searched_location,profile_crawled,title,currated_title,company,location,description,seniority,employent_type,job_function,industry
apprentice analyst at kbr employment services 2601338214,Apprentice,,TRUE,Apprentice  Analyst,apprentice,,"Wiltshire, England, United Kingdom",Microsoft Office - Predominantly Microsoft Excel. Ability to understand and utilise data for a range of Reporting needs. Develop Mechanisms to articulate and monitor Data Performance Understand and communicate Insight and Analysis in a way all end users will understand. Have the ability to manage and work to strict deadlines.Working knowledge of Microsoft Power BI Experience of CAFM system Knowledge of Concept Evolution Core Responsibilities and Duties,Internship,Full-time,Business Development and Sales,"Apparel & Fashion, Telecommunications, and Government Administration"
12 month internship based in malta at devere group 2594475519,Apprentice,,TRUE,12 month Internship   Based in Malta,apprentice,deVere Group,"London, England, United Kingdom","One to one training from top industry professionalsFinancial support packageAdditional training from globally recognized mindset coaches, celebrities, and elite sports peopleAccess to our company online learning and development platform (A great insight into future industry qualifications)Opportunities to further your career within one of deVere’s international offices including Dubai, Porto and Hong KongGuaranteed interview for full-time employment after successful completion of the internship.You must be entrepreneurial. Thinking outside the box will help you succeed.You must be relentless. If you give up easily, this career is not for you.You must be teachable. We are not looking for the finished article.",Internship,Internship,"Sales, Business Development, and Finance","Financial Services, Real Estate, and Insurance"
18th edition electrician at resourcing group 2567052311,Apprentice,"London, England, United Kingdom",TRUE,18th Edition Electrician,apprentice,Resourcing Group,"London, England, United Kingdom",1st Fix 2nd Fix Rewires,,,,
2021 level 6 apprenticeship  E2 80 93 engineering glasgow at arcadis 2571841996,Apprentice,,TRUE,2021   Level 6 Apprenticeship – Engineering   Glasgow,apprentice,Arcadis,"Birmingham, England, United Kingdom","Training in the use of Computer Aided Design (CAD) using proprietary design software packages Preparation of civil engineering or MEP drawings and designs Preparation of design drawings and preparation of design calculations Document control and project processes in line with company quality system To provide instruction and advice within the department commensurate with training completed Gaining experience and proficiency in Arcadis systems and procedures Becoming familiar and compliant with, relevant H & S regulations and to promote a culture of awareness within the team Performing other duties and responsibilities as required from time to time by your manager or Arcadis Good Communication Mathematics and IT skills are all important  Ability to work as part of a team / Working on your own initiative Strong problem solving, Attention to detail  Ability to come up with practical solutions Enthusiastic, Willing to learn, Punctual, Reliable, Committed  Proactive and Self-MotivatedA minimum of 5 GCSE’s including English, Maths and Science subject Grade B or aboveat least three A levels at grades A*- C (9 - 4 on the new grading system) including mathematics and physical science or their equivalent or will have completed a level 3 apprenticeship as a Civil Engineering Technician and hold two distinctions for a BTEC National Diploma in Civil Engineering or related studies.A Benefits Allowance and access to other Flexible Benefits Pension plan 25 days holiday 1 x charity day per annum Birthday vouchers Subscription, assessment, and membership fees for relevant professional bodies",,,,
2021 level 6 apprenticeship  E2 80 93 engineering warrington at arcadis 2592147770,Apprentice,,TRUE,2021   Level 6 Apprenticeship – Engineering   Warrington,apprentice,Arcadis,"York, England, United Kingdom","Training in the use of Computer Aided Design (CAD) using proprietary design software packages Preparation of civil engineering or MEP drawings and designs Preparation of design drawings and preparation of design calculations Document control and project processes in line with company quality system To provide instruction and advice within the department commensurate with training completed Gaining experience and proficiency in Arcadis systems and procedures Becoming familiar and compliant with, relevant H & S regulations and to promote a culture of awareness within the team Performing other duties and responsibilities as required from time to time by your manager or Arcadis Good Communication Mathematics and IT skills are all important  Ability to work as part of a team / Working on your own initiative Strong problem solving, Attention to detail  Ability to come up with practical solutions Enthusiastic, Willing to learn, Punctual, Reliable, Committed  Proactive and Self-MotivatedA minimum of 5 GCSE’s including English, Maths and Science subject Grade B or aboveat least three A levels at grades A*- C (9 - 4 on the new grading system) including mathematics and physical science or their equivalent or will have completed a level 3 apprenticeship as a Civil Engineering Technician and hold two distinctions for a BTEC National Diploma in Civil Engineering or related studies.A Benefits Allowance and access to other Flexible Benefits Pension plan 25 days holiday 1 x charity day per annum Birthday vouchers Subscription, assessment, and membership fees for relevant professional bodies",,,,
2021 level 6 apprenticeship  E2 80 93 geospatial mapping london at arcadis 2571841886,Apprentice,"London, England, United Kingdom",TRUE,2021   Level 6 Apprenticeship – Geospatial Mapping   London,apprentice,Arcadis,"London, England, United Kingdom","Perform surveying and mapping operations, under limited supervision, using a wide variety of equipment, software and techniques, under a wide variety of conditions Training in various industry standard platforms to process Point Cloud Data  Training in the use of Computer Aided Design (CAD) using proprietary design software packages Use a range of LIDAR equipment to produce surveys, including Global Positioning Systems (GPS) and Geographic Information Systems (GIS) and conventional methods Perform calculations and use geospatial data from various data capture tools and processes, such as Building Information Modelling Preparation of property measurement reports in accordance with RICS standards Document control and project processes in line with company quality system To provide instruction and advice within the department commensurate with training completed Gaining experience and proficiency in Arcadis systems and procedures Becoming familiar and compliant with, relevant H & S regulations and to promote a culture of awareness within the team Performing other duties and responsibilities as required from time to time by your manager or Arcadis Good Communication Mathematics and IT skills are all important  Ability to work as part of a team / Working on your own initiative Strong problem solving, Attention to detail  Ability to come up with practical solutions Enthusiastic, Willing to learn, Punctual, Reliable, Committed  Proactive and Self-Motivated  Travel to various sites across the UK Work towards an RICS qualificationA degree apprenticeship involves working while studying for a level 6 qualification which is equivalent to a degree. The length of the course is 5 years and will involve attending University one day per week and 4 days on the job learning.  Qualifications - 2 x A Levels or equivalent and hold a GCSE English and Mathematics at gradate A to C or graduate 4 and above.A Benefits Allowance and access to other Flexible Benefits Pension plan 25 days holiday 1 x charity day per annum Birthday vouchers Subscription, assessment, and membership fees for relevant professional bodies",,,,
administration apprentice at suez 2594491263,Apprentice,,TRUE,Administration Apprentice,apprentice,SUEZ,"Bridgwater, England, United Kingdom","This position is a fixed term position – two years or until the apprenticeship has been completed. The working hours are 37.5 hours per week, working from Monday to Friday. The pay rate for this role is £9.01 per hour.Based within our key public sector Municipal collection contract in Somerset you will learn and undertake the general administration duties which support all the Human Resources activities across this multi-site contract. You will be supporting the full life cycle of our 500 employees’ strong team, based out of the contract HQ in Bridgwater. You will help collate and analyse our HR metrics, and work with the management team to improve operational performance through people. This role is dynamic and varied, but 100% focussed on our key asset the teams delivering the service for the residents of Somerset.You will be covering a broad range of tasks, so you should be enthusiastic and motivated to learn as the role progresses. You must be able to demonstrate attention to detail and present work to a high standard. There is a numerical and analytical side to this role, so being good with numbers, spreadsheets and pivot tables etc will be a distinct advantage. In the role you will liaise with a wide range of people at all levels so excellent communication skills are essential. You will also be able to work well as part of an existing, friendly team and be able to provide additional support within the team as required. Full training will be given so a willingness to learn is essential. We will support you through your CIPD level 3 and this will be core to your development and success within the role",,,,
administration apprentice at kent and medway nhs social care partnership trust 2591776875,Apprentice,,TRUE,Administration Apprentice,apprentice,Kent and Medway NHS & Social Care Partnership Trust,"Dartford, England, United Kingdom",,,,,
administration apprentice at axis europe 2272087077,Apprentice,,TRUE,Administration Apprentice,apprentice,Axis Europe,"Brentwood, England, United Kingdom","People skillsEnglish and Maths GCSEsA willingness to learnA bit of creativity and flairExperienced in an admin or call centre environmentAble to work with a bit of pressure to tight deadlinesA team playerCaring, supportive, and community focused",Internship,Full-time,Other,"Construction, Staffing and Recruiting, and Real Estate"
apprentice at storal learning 2573108424,Apprentice,,TRUE,Apprentice,apprentice,Storal Learning,"Uphill, England, United Kingdom",,,,,
